Topic,Count,Name,Representation,Representative_Docs,city_name
0,1533,0_old_man_year_detained,"['old', 'man', 'year', 'detained', 'suspected', 'officers', 'arrested', 'charged', 'police', 'car']","[""wilanw police arrested a suspect for possession of a significant amount of drugs. in the car of the -year-old, the police seized mephedrone, amphetamines, cocaine and marijuana. the man in the mokotw prosecutor's office was charged. he will spend the next three months in custody."", ""downtown intelligence officers detained a man suspected of possessing a large amount of drugs. police found methamphetamine and marijuana on the -year-old. at the request of the prosecutor's office, the court decided to pre-trial detention of the man for months."", ""a -year-old man detained by the policemen of the warsaw drug crimes department will be charged with possession of drugs. the man in the district prosecutor's office of warsaw praga pnoc heard allegations and was placed under police supervision.""]",Warsaw
1,1455,1_safety_traffic_warsaw_people,"['safety', 'traffic', 'warsaw', 'people', 'officers', 'police', 'today', 'activities', 'policemen', 'department']","['yesterday, we carried out further actions aimed at safety in passenger transport. police officers of the criminal department, traffic department and intelligence and patrol department took part in the activities', 'the main players of the match are already in the stadium. the police officers of the traffic department took care of safety on the route of the players. on site we will also meet policemen of the prevention department of the police in warsaw.', 'increased forces are constantly directed to the vicinity of warsaw railway stations to ensure security. police officers of the road traffic department control the transport of people. help and protect']",Warsaw
2,245,2_commander_insp_chief_szymczyk,"['commander', 'insp', 'chief', 'szymczyk', 'gen', 'jarosaw', 'deputy', 'minister', 'superintendent', 'sergeant']","['on the occasion of day, minister mariusz kamiski together with the commander-in-chief of gen. insp. jarosaw szymczyk laid flowers in front of the obelisk ""to the fallen policemen - republic of poland"".', 'on the day of remembrance of the victims of the katyn crime, on behalf of the police commander-in-chief, deputy superintendent dariusz augustyniak and superintendent pawe dobrodziej together with deputy minister laid a wreath at the memorial plaque in the kgp building and paid tribute to the police officers of the second republic of poland murdered by the nkvd', 'on the anniversary of the death of deputy commissioner andrzej struj, minister of the interior and administration mariusz kamiski, commander-in-chief of the police gen. insp. jarosaw szymczyk, phd, and the chief of the capital city of police, superintendent pawe dzierak honored the memory of the heroic policeman.']",Warsaw
3,130,3_ul_al_traffic_jerozolimskie,"['ul', 'al', 'traffic', 'jerozolimskie', 'roundabout', 'bridge', 'plac', 'section', 'marszakowska', 'vehicular']","['warsaw, rdmiecie.difficulties in vehicle traffic concern the route: ul. nowy wiat (from gen. charles de gaulle roundabout) through plac trzech krzyy, al. ujazdowskie to ul. belwederska and matejki and wiejska streets.', 'further traffic closures on al. ujazdowskie. currently, vehicular traffic is closed on the section from ul. bagatela to plac trzech krzyy. we are there, taking care of safety.', 'restored traffic on aleje jerozolimskie from plac zawiszy to ul. chalubinski.vehicle traffic in al. jerozolimskie on the section from ul. chaubiski to nowy wiat (only in one direction).traffic on the czterdziestolatka roundabout is normal.']",Warsaw
4,86,4_fatal_accidents_map_road,"['fatal', 'accidents', 'map', 'road', 'holidays', 'careful', 'urge', 'caution', 'responsible', 'yesterday']","['police map of fatal road accidents - holidays there were fatal accidents yesterday.we urge you to be careful and responsible on the road! safety', 'police map of fatal road accidents - holidays there were fatal accidents yesterday. we urge you to be careful and responsible on the road! safety', 'police map of fatal road accidents - holidays there were fatal accidents yesterday.we urge you to be careful and responsible on the road! safety']",Warsaw
5,55,5_protest_watch_ended_statement,"['protest', 'watch', 'ended', 'statement', 'uprising', 'match', 'remember', 'scammers', 'future', 'read']","['just like the plastic bags with dried plants and white powder in the sports bag that stood next to the -year-old. the detainee also had money in the amount of over pln with him.', 'wolf-ram-23 exercises. beware of fake news. only use official channels . do not submit or publish unverified information.', 'warsaw public transport is definitely the best choice today. meanwhile, the shakhtar donieck-real madrid match is coming soon we operate on the spot taking care of safety']",Warsaw
0,605,0_command_metropolitan_division_th,"['command', 'metropolitan', 'division', 'th', 'police', 'lisbon', 'parish', 'psp', 'theft', 'carried']","['arrested for theftthe lisbon metropolitan command of the psp, through the rd police division, on february , at :05 pm, in the parish of carnide, in lisbon, proceeded to the arrest in flagrante delicto of a man, aged ... https: //', 'the lisbon metropolitan command of the psp, through the police division of loures, arrested a -year-old young man, on suspicion of committing the crime of drug trafficking.', 'the th police division, on august, at pm, in the parish of penha de frana, proceeded to arrest a -year-old man in flagrante delicto, on suspicion of committing the crime of drug trafficking.']",Lisbon
1,542,1_detained_command_metropolitan_vs,"['detained', 'command', 'metropolitan', 'vs', 'cometlis', 'pickpockets', 'lisbon', 'seizure', 'schedule', 'psp']","['the public security police - metropolitan command of lisbon makes known weekly, through the "" ..."" curiosities about cometlis.', 'the public security police - metropolitan command of lisbon makes known weekly, through the "" ..."" curiosities about cometlis.', 'the public security police - metropolitan command of lisbon makes known weekly, through the "" ..."" curiosities about cometlis.']",Lisbon
2,324,2_restricted_accident_avenida_road,"['restricted', 'accident', 'avenida', 'road', 'circular', 'traffic', '2nd', 'ip', 'eusbio', 'silva']","['avenida general norton matos (2nd circular): restricted traffic, due to a road accident, south/north direction', 'avenida general norton matos (2nd circular): restricted traffic, due to a road accident, north / south direction', 'avenida eusbio da silva ferreira (2nd circular): benfica/airport, restricted traffic due to a road accident.']",Lisbon
3,258,3_comando_metropolitano_lisboa_theft,"['comando', 'metropolitano', 'lisboa', 'theft', 'psp', 'da', 'ferreira', 'thanks', 'conditioning', 'stretching']","['psp - comando metropolitano de lisboa: arrested for theft', 'psp - comando metropolitano de lisboa: arrested for theft', 'psp - comando metropolitano de lisboa: arrested for theft']",Lisbon
4,228,4_drug_trafficking_arrested_theft,"['drug', 'trafficking', 'arrested', 'theft', 'qualified', 'burglary', 'aggravated', 'roubo', 'shoplifting', 'release']","['arrested for drug trafficking', 'arrested for drug trafficking', 'arrested for theft and drug trafficking release']",Lisbon
5,202,5_inform_cut_caution_drive,"['inform', 'cut', 'caution', 'drive', 'alternatives', 'cutwe', 'look', 'direction', 'lane', 'like']","['traffic conditioningwe would like to inform you that due to an accident on the ic , towards algs - sacavm, after the ic junction, traffic only circulates on the right lane.drive with caution, look for alternatives.', 'traffic conditioninglease be advised that due to a road accident on av. city of porto, on the nd ring road, heading south/north, traffic is partially cut off on the two lanes on the left.drive with caution and look for alternatives.', 'complete road cutwe inform you that, due to a road accident, between heavy vehicles and light vehicle, traffic is completely cut off on the north-south axis access ic17 towards vasco da gama bridge. alternatives are recommended nd circular and cril circular with caution']",Lisbon
6,182,6_release_detention_preventive_pretrial,"['release', 'detention', 'preventive', 'pretrial', 'domestic', 'network', 'violence', 'prison', 'dismantled', 'trafficking']","['""pretrial detention for domestic violence detainee"" release', '""pretrial detention for detained for domestic violence"" release', '""pretrial detention for detained for domestic violence"" release']",Lisbon
7,166,7_restored_advises_learn_fixed,"['restored', 'advises', 'learn', 'fixed', 'home', 'held', 'detained', 'gi', 'wheels', 'love']","['road circulation restored.', 'road circulation restored.', 'road circulation restored']",Lisbon
8,164,8_protect_safety_humane_cohesive,"['protect', 'safety', 'humane', 'cohesive', 'integral', 'strong', 'health', 'service', 'citizen', 'public']","['good week protect yourself and protect others.an integral, humane, strong, cohesive police at the service of the citizen.', 'protect yourself and protect others.be a public health agent.an integral, humane, strong, cohesive police at the service of the citizen.', 'protect yourself and protect others.be a public health agent.an integral, humane, strong, cohesive police at the service of the citizen.']",Lisbon
9,163,9_facebook_posted_photo_complaint,"['facebook', 'posted', 'photo', 'complaint', 'war', 'dating', 'new', 'campaign', 'wishes', 'good']","['i posted a new photo on facebook', 'i posted a new photo on facebook', 'i posted a new photo on facebook']",Lisbon
10,136,10_possession_committing_suspicion_prohibited,"['possession', 'committing', 'suspicion', 'prohibited', 'crime', 'weapons', 'weapon', 'illegal', 'old', 'year']","['the loures police division proceeded to arrest a young man, aged , on suspicion of committing the crime of domestic violence and possession of a prohibited weapon.', 'the loures police division arrested a -year-old man on suspicion of committing the crime of domestic violence and possession of prohibited weapons.', 'the th police division, in the parish of beato, arrested a -year-old man in flagrante delicto, on suspicion of committing the crime of possession of an illegal weapon, in the context of domestic violence.']",Lisbon
11,79,11_normalized_situation_circulation_drive,"['normalized', 'situation', 'circulation', 'drive', 'birds', 'caution', 'safely', 'seized', '', '']","['normalized situation.', 'normalized situation.', 'normalized situation.']",Lisbon
0,42,0_ventilate_material_recommendation_collected,"['ventilate', 'material', 'recommendation', 'collected', 'forces', 'taken', 'currently', 'security', 'izs', 'district']","['almost police officers checked almost places, including playgrounds, and collected pieces of infectious material from drug addicts. good news - the pitches are almost flawless!', 'led officers from the river division of the prague police department practiced together with the water rescue service the techniques of rescuing people who fell through ice into cold water. the training also covered diving.', 'there are already vehicles in prague, whose crews are taking samples from patients for testing for the presence of the coronavirus. we joined forces with , the staff of the infectious department and doctors from the medical faculties of charles university.']",Prague
1,42,1_reports_rally_training_radotn,"['reports', 'rally', 'training', 'radotn', 'directors', 'central', 'operations', 'christmas', 'mp', 'celebrations']","[""director eduard uster speaks for today's udlos t about the introduction of towing from residential zones of paid parking."", 'sport is a little different today... colleagues from prevention help in radotn with the organization of the czech powerchair league radotn', 'hello fellow ward members from prague - rep. during the breaks, they create the still-short masks for the local senior citizens.']",Prague
2,40,2_director_mayor_eduard_award,"['director', 'mayor', 'eduard', 'award', 'uster', 'petr', 'representatives', 'republic', 'th', 'morning']","['on thursday, november , the director of the prague city police, eduard uster, and the councilor for security and crime prevention, libor hadrava, took part in a memorial service at the monument to fallen policemen and firefighters in the area of the police museum of the czech republic, ke karlovu , prague', 'on november , several dozen people gathered for a festive gathering in the grounds of the police museum in karlovy vary. a memorial service was held at the monument to the fallen policemen and firefighters - a commemoration of the memory of fourteen hundred and fifty policemen, gendarmes and guards who lost their lives in the line of duty.', 'tomorrow, april , , a ceremonial handover of the new service equipment of the prague city police will take place in the presence of deputy mayor petr hlubuek, director of the prague city police eduard uster and representatives of koda auto czech republic.follow us live on our fb profile from :00 a.m.']",Prague
3,36,3_question_cz_send_sprayers,"['question', 'cz', 'send', 'sprayers', 'info', 'troy', 'accumulated', 'slightly', 'nad', 'yearmore']","['send this question to info.cz', 'send this question to info.cz', 'read another article from our magazine prask strnk...using a weapon with results']",Prague
4,36,4_traffic_closed_places_order,"['traffic', 'closed', 'places', 'order', 'parking', 'supervision', 'continue', 'ensure', 'tourists', 'past']","['on monday, traffic restrictions will begin in na stri streetthe planned traffic restrictions in prague between budjovick and . kvtna streets will last for about weeks. from february , the right lane in the direction of nusl will be closed in na stri street. the end of the modifications and closure is planned for march .', 'we warn drivers about extraordinary traffic measures. due to expected traffic complications and tram delays, the mal strana crossing from valdtejnsk street to jezd will be closed from monday th to wednesday th november. only residents and traffic attendants will be able to enter the area.', 'winter humanitarian aid for homeless people in the metropolis ends on april . at the same time, the operation of free winter shelters and low-threshold day centers as well as extended field programs were terminated. homeless people can continue to use all year-round facilities.']",Prague
5,36,5_program_issue_magazine_episode,"['program', 'issue', 'magazine', 'episode', 'chessboard', 'metropole', 'night', 'read', 'achovnica', 'time']","[""in , we are also bringing you the program on the chessboard of the metropolis. in today's episode, you will see a night shift in the center, a thank you to the izs units in prague , christmas day in the troy shelter, cleaning under the bridge, police officer training, and ten of our most watched videos. more at https://"", 'the next part of the program na achovnica metropole, a magazine about the work of prague police officers. this time we will show you daily line at prague .more at', 'the next part of the program na achovnica metropole, a magazine about the work of prague police officers.this time we will show you the night line in prague .video can be found at:']",Prague
6,32,6_man_old_young_ended,"['man', 'old', 'young', 'ended', 'ran', 'helped', 'face', 'woman', 'fell', 'officer']","['he ran from the officers, but did not escapewhether the actions of a twenty-year-old young man can be considered an artistic expression depends on the taste of each of us. this year, officers of the prague city police detained a total of people, including foreigners who were caught spraying.', ""i see a roughly -year-old gentleman lying face down at the entrance. beside him, a cane, face to the ground, is conscious and confused. maybe drunk, maybe a stroke. people cross it, no one stops it. i'm calling an ambulance, is driving by, the fighters are absolute professionals. but the disinterest of people. shit!"", 'zdenk svrk had two small children, so his superior sent him to an arranged overnight stay in the street below the place from which they secretly broadcast. when he fell asleep around midnight, he listened to the radio, where his friend milo epelka said goodbye to the listeners. live68you can find the full interview here &gt;']",Prague
7,28,7_information_looks_normal_expensive,"['information', 'looks', 'normal', 'expensive', 'interested', 'allowed', 'hello', 'home', 'patrol', 'like']","['which constable is going to fort boyard? where will any proceeds go?which task is considered the most difficult in obstacle races? how is personal hygiene after such a race? more at', 'thanks to multiple prices, uber is more expensive than a normal taxi, but it also violates the declaration on the maximum allowed price (boarding ,-, km ,-)', 'st.echy-ml.boleslav: child in danger - help look for a -year-old girl who did not arrive home from school. more information here:']",Prague
8,23,8_drunk_wanted_driver_parked,"['drunk', 'wanted', 'driver', 'parked', 'network', 'drunks', 'wheel', 'arrested', 'handed', 'got']","['a drunk driver with almost one and a half percent of the blood alcohol was roaming the streets of prague', 'the -year-old drunk driver, who fell asleep in the running vehicle and also damaged parked cars, was handed over by prague police officers to the police.', 'another three cases of drunks who got behind the wheel of a car were recorded by prague police officers.']",Prague
9,15,9_thank_nice_disturbed_deceased,"['thank', 'nice', 'disturbed', 'deceased', 'comes', 'worship', 'came', 'feedback', 'friendly', 'maintain']","['thank you for the positive feedback and have a nice day', 'thank you for the compliment. colleagues try to do everything they can to maintain order. have a nice day', ""today's joint run in vtkov ... thank you to everyone who came. it's nice that we're pulling together.""]",Prague
10,7,10_influence_drugs_arrested_driver,"['influence', 'drugs', 'arrested', 'driver', 'case', 'drivers', 'discovered', 'narcotic', 'unstable', 'substances']","['the driver under the influence of drugs was arrested by officers of the prague city police ://', 'officers discovered another driver under the influence of drugsprague police officers discovered a driver under the influence of drugs at the weekend. the police are still investigating the case.', 'two drivers under the influence of narcotic and psychotropic substances were arrested by prague police officers in one day. these drivers mainly draw attention to themselves by not following the rules or by driving very unstable.']",Prague
11,6,11_soon_police__,"['soon', 'police', '', '', '', '', '', '', '', '']","['://', 'police', 'soon...']",Prague
12,5,12_render_arrives_collapses_assistance,"['render', 'arrives', 'collapses', 'assistance', 'directing', 'suicide', 'woman', 'scene', 'accident', 'threatened']","['officers and firefighters render first aid to injured woman via', 'woman collapses in street, police patrol arrives on scene within minutes via will help', 'officers provide medical assistance to man who threatened suicide']",Prague
13,3,13_know___,"['know', '', '', '', '', '', '', '', '', '']","['you know that', 'you know that', 'you know that']",Prague
0,1330,0_present_police_area_traffic,"['present', 'police', 'area', 'traffic', 'good', 'currently', 'copenhagen', 'people', 'nightlife', 'time']","[""today is j-day, when the christmas beer is released. we therefore expect many people in the city, so remember to take care of each other. we have walking, driving and riding patrols in the nightlife to create security. don't hesitate to contact us if you need help"", 'in order to help everyone on their way, our traffic department has a special focus on school roads this coming week to ensure and help prevent children and young people from being injured when they walk or cycle to and from school', 'the local police are present today with patrols and the mobile police station at the frederiksberg center and on falkoner all, where there was a shooting incident yesterday. citizens who feel unsafe or have knowledge of the matter are welcome to come by and have a chat']",Copenhagen
1,1089,1_arrested_year_old_man,"['arrested', 'year', 'old', 'man', 'charged', 'today', 'produced', 'constitutional', 'sentenced', 'hearing']","['in connection with the effort against the organized hash trade in pusher street in christiania, we arrested a -year-old man yesterday who was found in possession of an illegal knife', 'yesterday afternoon, near pusher street in christiania, we arrested a -year-old man who was in possession of grams of cocaine and grams of heroin. he will therefore be produced in a constitutional hearing in the copenhagen district court today', 'in connection with the effort against the organized hashish trade in pusher street in christiania, we arrested a -year-old man and a -year-old man on sunday, who were both in possession of hashish products for resale. both men were also in possession of cocaine for their own consumption']",Copenhagen
2,230,2_traffic_open_closed_rdhuspladsen,"['traffic', 'open', 'closed', 'rdhuspladsen', 'boulevard', 'directions', 'demonstration', 'andersens', 'plads', 'route']","[""in connection with tonight's football match between fck and trabzonspor from turkey, a fan march from follow the route: axel torv, hammerichsgade, h. c. andersens boulevard. nrre farimagsgade, frederiksborggade, nrre alle, jagtvej til parken. this can cause traffic challenges"", 'it takes place today from climate demonstration along the route israels plads, gothersgade, kronprinsensgade, kronprinsessegade, store kongensgade, skt. ann gade, holbergsgade, holmens kanal to christiansborg.the demonstration may cause traffic challenges on the route.', 'a demonstration with approx. participants will create some traffic challenges on their way. it has just started from hulgrds plads and goes along frederikssundsvej - nrrebrogade - dr. louises bro - gothersgade - nrre voldgade - h.c. andersens boulevard - rdhuspladsen']",Copenhagen
3,223,3_contact_police_bank_want,"['contact', 'police', 'bank', 'want', 'need', 'information', 'advice', 'like', 'phone', 'citizens']","['never give out personal information about nem-id, payment cards or pin codes to strangers. not even if you talk on the phone to someone pretending to be calling from the bank or another authority. find more good advice here:', ""we are currently receiving several reports of elderly people who have had their payment cards and pins stolen. the fraudsters call and pretend to be calling from the bank or the police and state that they need to use the citizen's card and information, as the card has been misused"", 'we also experience this type of fraud in our police circle. feel free to talk to the older citizens you know - family, friends and neighbours. tell them that the bank, the police etc. will never ask for personal information over the phone or for payment cards. only scammers do this']",Copenhagen
4,215,4_driving_km_fined_speed,"['driving', 'km', 'fined', 'speed', 'license', 'red', 'cyclists', 'measured', 'light', 'driver']","['on the night of sunday, a -year-old male driver was measured at km/h on a section of the helsingr motorway, where the permitted speed is km/h. according to the law on crazy driving, the car was therefore seized for confiscation, and the man had his driving license revoked', 'during a speed check on the helsingr motorway yesterday, two motorists were measured at km/h on a stretch where the permitted speed is km/h. both cars were impounded under the rules on reckless driving. in addition, seven drove too fast - four of them got a cut in the card', ""last night, a motorist was measured to be driving at least km/h at the end of the helsingr motorway, where the maximum speed limit is km/h. as the speed was over % too high (= crazy driving), the car was impounded for confiscation. the driver's driving license was revoked""]",Copenhagen
5,192,5_media_case_investigation_image,"['media', 'case', 'investigation', 'image', 'apologize', 'press', 'correction', 'information', 'request', 'wanted']","['we have deleted the wanted notice and the published image of the now arrested man, and we call on the media and others who shared the image to also delete or anonymize it', 'the man whom we called for a short time ago in connection with a number of defamation cases have reported themselves. we have therefore removed the wanted notice and the picture of the suspect. we encourage the media and others who have shared the image to delete or anonymize it', 'we have deleted the image and the previously issued wanted notice for the -year-old, and we also encourage the media to anonymize articles and remove the image']",Copenhagen
6,168,6_hi_good_day_twitter,"['hi', 'good', 'day', 'twitter', 'dear', 'vh', 'morten', 'write', 'help', 'reviews']","['hi villads. yes, you are welcome to call -1-4 or write to kbh.dk about the incident. good day.', 'hi matias. we do not accept reviews on twitter. you are welcome to call -1-4 or write an email to kbh.dk.', 'hi ole. we do not receive reviews via twitter. you can report on -1-4, write an e-mail to kbh.dk or turn up at the expedition at hovedbanegrden.']",Copenhagen
0,2206,0_police_arrests_cannabis_paris,"['police', 'arrests', 'cannabis', 'paris', 'kg', 'security', 'prefect', 'fight', 'carried', 'seizure']","['| on wednesday, the set up a surveillance device in an area of known for traffic.following this operation and a search: seizure of kg of cannabis + arrests acting against trafficking is', 'nice case carried out yesterday by the police officers , in two stages:1 control of an individual in possession of cannabis then arrest.2 search of his home: seizure of kg of cannabis, g of cocaine and g of heroin.', '/7 operations yesterday afternoon in : arrest, more than kg of cannabis and seized following security carried out with the municipal police last night in : kg of cannabis seized during a search of the common areas']",Paris
1,796,1_don_know_advice_emergency,"['don', 'know', 'advice', 'emergency', 'scam', 'account', 'good', 'week', 'new', 'make']","['on this last day of the week, here is a memo of the numbers to know in case of emergency, accident, discomfort, assault or theft. these services are available hours a day, days a week and at your service.', 'as the start of the school year approaches, does your child like to play video games? be vigilant and always check if it is suitable for him. on the packaging, the sign informs you about: the type of game its content the age category of players', 'accident, discomfort, aggression, theft... do you know the essential numbers to contact in case of emergency? these services are available hours a day, days a week, and at your service.']",Paris
2,398,2_arrested_woman_victim_individual,"['arrested', 'woman', 'victim', 'individual', 'individuals', 'yesterday', 'man', 'quickly', 'night', 'arrest']","['reaction action for the of the bac yesterday afternoon at they quickly spotted individuals following a woman and a child. at a bend in the street, the group violently tried to steal his watch. arrestssupport for police officers slightly injured.', '| the of the bac yesterday arrested an individual who had just attacked a -year-old woman to steal her necklace, after having attempted a first theft on another woman.fortunately, the victim was only slightly injured. arrest', '| yesterday at the end of the afternoon in , the of the intervened following the assault of a woman on the public road by her companion. violent spouse arrested at his home. injured victim taken care of by the .']",Paris
